"","Binomial","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Aeorestes_cinereus","Aeorestes_cinereus",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alces_alces","Alces_alces",342,1,NA,0.0147571262570332,0.014757126257033,0.0147571262570327,0.0147571262570327,0.0147571262570336,0.0147571262570327,0.0147571262570327,0.0147571262570336,0.0147571262570327,0.0138155314816184,0.0252141258181088,0.0238085780582626,0.0164033913725761,0.0116653459547823,0.00916448461102846,0.00975752943790848,0.000172115129450789,-0.000184637121387306,-0.000783930819250352,-0.000651001619612091,5.88804478917808e-05,0.00030568583178802,-4.13898964124319e-05,4.01602347347025e-06,0.00130407051265896,0.00210798741677227,0.00462449329710898,0.00312556569751885,-0.00144450630598499,-0.000502274864145735,-0.000772478909635681,0.00162850397839918,-0.00138185969684478,-0.0029081861640634,-0.00512542763715467,-0.00514760580460123,-0.00257020999936353,3.2421201937971e-05,0.000458626604077458,0.00300165676007911,0.000640633668873244,-0.000273725389201333,-0.000117436787669086,0.00119153721494394,-0.0321670469090519,-0.0312508472817492,-0.0168945040411959,-0.0876129241856179,-0.0740252101596208,0.0656712666570035,0.0738881343636192
"Alexandromys_oeconomus","Alexandromys_oeconomus",16,1,NA,NA,NA,-0.157908330974339,-0.15790833097434,-0.157908330974339,-0.157908330974339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0739008097839898,-0.07390080978399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antilocapra_americana","Antilocapra_americana",22,1,-0.0337774392014865,-0.0337774392014865,-0.0337774392014865,-0.0337774392014873,-0.0337774392014865,-0.0337774392014865,-0.0337774392014865,-0.0337774392014865,-0.0337774392014865,-0.0337774392014865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.147300155088355,-0.147300155088355,-0.147300155088355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bos_bison","Bos_bison",332,1,NA,-0.027768588830666,-0.0110474660281857,-0.0109121376551669,-0.00934692302459394,0.00585708751351344,0.00848561609769083,0.0107043204084951,0.0122261848852631,0.0131868593068615,0.0210937924707752,0.0258053615979847,0.0254346348868671,0.0248234974631778,0.0241409625838121,0.0234328985815671,0.0226788120200447,0.0219685974218776,0.02148502809608,0.0212927402969657,0.0212873964284172,0.0214337568768217,0.0219185662876936,0.0229017708518536,0.0241892667474308,0.025388390682945,0.029240206489652,0.0274049285564786,0.0276695006948769,0.0291863661218788,0.0347952590204359,0.0386802359767837,0.0388175501182009,0.0364139346247197,0.0323629778532273,0.0285069852377794,0.0254149442179403,0.0227725079969075,0.0210789631405956,0.0219681933027123,0.0184470824345243,0.0137692917582266,0.0190257821825853,0.000184708500913733,-0.0211470923032392,-0.0211470923032394,-0.0277390576446515,NA,NA,NA,NA,NA
"Canis_latrans","Canis_latrans",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canis_lupus","Canis_lupus",299,1,NA,0.067411744925628,0.0629698223708485,0.0552053464526173,0.0464378789751817,0.0379928160695235,0.0298207173393968,0.021765971104177,0.0141118516931206,0.00808392880844597,0.00389115099600759,0.00125730065567659,0.000862788050514679,-0.00371425429610285,-0.0020797671536912,0.0155480038194275,0.0121589626206608,0.00753712935367036,0.00373875579746104,-0.000806025391342444,-0.00430569487274899,-0.00746142959625526,-0.00429099662368614,-0.000603804019948983,-0.00365820377439014,-0.0161847318767154,-0.0268861126246743,-0.0586919893867502,-0.0429224758765565,-0.00724376555017319,-0.0191426468328722,-0.0207735936016143,-0.0204444544260599,0.0121721258111787,0.046461824316773,0.049739382748211,0.0228739914792866,-0.00362112346049645,0.00995520831313013,0.00597402934703636,-0.00249320410575316,-0.0143130455456976,-0.0235083095353017,-0.0249967206426756,0.0130128742192988,0.0252913796175661,0.0263420718702902,0.0274708166500328,0.0285168032203461,0.0288350265318162,0.0272232345314155,0.0252741430554681
"Cervus_elaphus","Cervus_elaphus",558,1,0.0221802881130415,0.0184702080876176,0.0137291553316161,0.0121147594574222,0.0151567316355679,0.019894006861743,0.0213046056785031,0.0166313384122967,0.00759418820247237,-0.0014166234717683,-0.00723827207031791,-0.0100795143785453,-0.0118237400978591,-0.0129194174347216,-0.0133665463891157,-0.0120641028101955,-0.0246958305193687,0.0202947945016826,0.0213585633442236,0.0211139943280114,0.018940616653899,0.0154303408468622,0.0118456069181462,0.00897715235177367,0.00763361655377359,0.00798441548797646,0.00944899644903861,0.0116613075600345,0.0155869922677724,0.00352760572535868,0.00625681943654576,0.0133672923007678,0.00943135595674015,0.00646951897496982,0.00573362743928153,0.011474024431388,0.0190354780726285,0.0210407997193671,0.0142911401238889,0.00923803389197997,0.00916334283918511,0.0134172718800521,0.0166962675461091,0.0143620117267231,-0.0172387102637114,-0.0223178114470914,-0.0143032336931931,-0.0034590617623349,0.0516361080147933,NA,NA,NA
"Clethrionomys_rutilus","Clethrionomys_rutilus",75,1,NA,0.081021922853678,0.081021922853678,-0.0621326039553413,-0.0879347896857306,-0.0879347896857306,-0.0879347896857306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0658123230016013,-0.0710575817790646,-0.0752505447166595,-0.0651682500678326,-0.0243390678483264,-0.0342041970322418,-0.0227014802021915,-0.0313018008435195,-0.0508768966686628,-0.061123497710576,-0.0483321203204015,-0.0167678317913445,0.0175914416271458,0.0424756386274441,0.0566733345022627,0.0644814347916343,0.0682707436650151
"Cynomys_ludovicianus","Cynomys_ludovicianus",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.119273095995854,-0.119273095995612,-0.11927309599515,-0.119273095994559,-0.11927309599397,-0.119273095993511,-0.119273095993271,NA,NA,NA,NA,NA,NA,NA,NA
