ID,min_year,max_year
44,1970,1985
45,1970,1985
50,1971,2013
51,1970,1980
52,1970,1976
54,1970,1992
55,1972,1991
57,1972,1991
58,1979,1987
60,1972,1991
61,1991,1996
62,1990,1996
82,1991,1999
83,1998,2002
84,1998,2002
85,1986,1992
86,1984,2000
87,1972,1997
88,1973,1997
89,1980,1993
90,1975,2003
92,1994,2000
93,1994,1999
94,1994,1999
98,1995,2000
100,1993,1998
104,1998,2001
105,1998,2002
106,1998,2002
107,1977,2001
108,1977,2001
109,1987,1994
110,1987,1994
111,1995,2002
112,1995,2002
113,1996,2002
114,1996,2002
115,1994,2002
116,1994,2004
117,1996,2004
118,1997,2004
119,1997,2002
120,1995,2004
121,1995,2004
122,1994,2004
123,1992,2002
124,1999,2002
125,1992,2002
133,1971,2003
134,1974,1993
135,1974,2003
170,1970,2009
181,1970,1975
183,1970,1975
184,1970,1975
185,1970,1975
186,1970,1975
187,1973,1985
188,1988,2002
189,1970,1995
190,1983,1984
208,1970,1995
209,1970,1995
212,2000,2003
213,2000,2003
214,1970,1996
215,1973,2001
216,1988,1998
217,1999,2001
218,1999,2001
249,1990,2005
251,1991,1998
255,1989,2000
256,1987,2004
257,1985,2005
258,1972,2005
259,1993,2005
260,1993,2005
261,1997,2005
262,1997,2005
264,1987,1996
274,1977,2013
275,1990,2013
296,1987,2008
307,1986,1993
308,2004,2005
309,2004,2005
310,2004,2005
311,2004,2005
312,2004,2005
313,2004,2005
314,2004,2005
315,2004,2005
316,1993,2002
317,1993,2002
318,1993,2002
320,1993,2002
321,1993,2002
327,1993,2002
329,1993,2002
330,1993,2002
344,1997,1999
345,1997,1999
346,1990,1992
347,1990,1992
348,1970,2010
349,1970,2010
350,2007,2009
386,1999,2005
391,1984,1986
393,1993,2004
398,1995,2004
399,1995,2004
400,1983,1997
401,1983,1997
402,1989,1997
403,1985,1997
404,1983,1997
405,1983,1997
406,1985,1997
407,1990,1997
408,1983,1993
409,1978,1981
410,1999,2002
411,1999,2002
412,1999,2002
413,1999,2002
414,1999,2002
415,1994,1998
417,1994,1998
418,1994,1998
419,2001,2003
420,1978,1981
421,2006,2008
422,2006,2008
423,1999,2005
424,1999,2005
425,1999,2003
427,1999,2003
430,1971,1973
431,1971,1974
433,1971,1974
434,1971,1973
446,1995,1997
447,1995,1997
448,1995,2014
449,1995,1997
450,1995,1997
451,1995,1997
460,1995,1997
461,1996,1997
462,1996,1997
463,1996,1997
464,1996,1997
465,1996,1997
466,1996,1997
467,1996,1997
468,2002,2004
469,2002,2004
470,2002,2004
471,2002,2004
472,2002,2004
473,2002,2004
474,2002,2004
475,2002,2004
476,2002,2004
477,1997,1998
478,1996,1997
482,1972,1997
483,1973,1977
485,1973,1977
486,1973,1977
487,1973,1977
488,1973,1977
503,1989,1994
527,1993,1997
528,1993,1997
531,1994,1997
532,1994,1997
533,1995,2006
535,1985,2008
537,2003,2010
539,1985,2008
540,1986,2005
541,2005,2007
542,1970,1978
543,1970,1978
544,2005,2007
545,2005,2010
546,1987,1992
547,1987,1992
549,1994,2007
555,1981,1984
556,1981,1984
557,1981,1984
559,1981,1984
560,1995,1997
561,2000,2002
562,2000,2002
563,1995,1997
564,1995,1997
565,1997,2006
566,1990,1991
567,1989,1991
568,1989,1991
569,1976,1978
570,1997,2008
571,2007,2008
572,1994,2008
573,2001,2008
574,1998,2008
575,1994,2008
576,2003,2008
577,1998,2008
578,1994,2008
579,2001,2008
580,1995,2008
581,2007,2008
582,1989,1993
584,1970,1977
586,1983,2005
588,1972,2012
603,1994,1997
604,1994,1997
605,2005,2008
606,1977,2009
607,1977,2009
609,2000,2007
611,2000,2007
614,1978,1984
615,1983,1986
616,1988,1998
618,1997,2013
620,1997,2011
621,1997,2011
622,2004,2010
625,2005,2011
626,1995,2010
629,1995,1998
633,2000,2004
638,2011,2012
640,1971,2010
642,1982,2017
680,1975,2007
681,1995,1998
682,1993,1995
683,1973,2016
684,1996,2013
685,2001,2011
686,2002,2012
687,2001,2011
688,2009,2012
689,2007,2012
690,2007,2012
691,1971,2016
719,2007,2014
720,2016,2017
721,2016,2017
722,2016,2017
723,2016,2017
724,2016,2017
726,2016,2017
727,2016,2017
728,2016,2017
729,2016,2017
730,2016,2017
731,1977,2019
732,1977,2016
733,1977,2020
734,1977,2019
735,1995,2016
736,1995,2016
737,1995,2016
738,2000,2018
739,1971,2014
747,1973,2014
748,2005,2022
749,2005,2022
750,2010,2022
751,2009,2022
752,2005,2022
753,2006,2022
754,2007,2022
755,2006,2022
756,2008,2022
757,2000,2022
759,1988,2022
761,2000,2022
762,2000,2022
764,1974,1979
767,2004,2014
769,2004,2014
770,1970,1990
771,2005,2010
772,2002,2014
773,1982,2018
774,1981,2013
782,1980,2016
783,1987,2014
784,1987,2014
785,1987,2014
786,1987,2014
787,1987,2014
788,1987,2014
789,1987,2014
790,1987,2014
791,1987,2014
792,1997,2001
915,2010,2011
916,2010,2011
1082,2004,2011
1083,1996,2012
1084,1998,2011
1085,2002,2010
1086,2002,2010
1087,2000,2013
1088,1995,2009
1089,1972,2013
1090,1981,2014
1091,1971,2014
1092,1980,2011
1118,1987,1990
1119,1987,1990
1120,1987,1990
1121,1987,1990
1122,1987,1990
1123,1987,1990
1124,1987,1990
1125,1987,1990
1126,1987,1990
1127,1987,1990
1128,1987,1990
1129,1998,2001
1158,1998,2013
1159,1983,2006
1160,1987,2014
1161,1987,2014
1162,1987,2014
1163,1987,2014
1164,1987,2014
1165,1987,2014
1166,1987,2014
1167,1987,2014
1168,1987,2000
1169,1987,2000
1170,2003,2014
1278,1999,2014
1553,2004,2011
1554,2005,2011
1555,2005,2011
1648,2004,2005
1649,2000,2001
1682,1999,2014
1858,2013,2015
1913,1984,1994
2093,2008,2012
2094,2008,2010
2095,2008,2009
2096,2011,2013
2097,2011,2013
2098,2010,2011
2099,2010,2011
2100,2010,2011
2101,2010,2011
2102,2010,2011
2103,2009,2013
2104,1999,2013
2105,2010,2013
2106,2001,2013
2107,2008,2009
2108,2008,2010
2109,2008,2009
2196,2010,2011
2197,2005,2016
2198,1994,2014
2199,1994,2014
2200,1997,2014
2201,1994,2014
2202,1994,2014
2203,1994,2014
2204,1994,2014
2205,1994,2014
2206,1994,2014
2207,1994,2014
2208,1994,2014
2209,1994,2014
2210,1994,2014
2211,2005,2016
2212,1970,2014
2213,2008,2014
2214,1987,2014
2215,1987,2014
2216,1987,2014
2217,1990,2014
2218,1990,2014
2219,1987,2014
2220,1987,2014
2468,1987,1990
2469,1987,1990
2470,1987,1990
2471,1987,1990
2472,1987,1990
2473,1987,1990
2474,1987,1990
2475,1987,1990
2476,1987,1990
2477,1987,1990
2478,1987,1990
2559,1983,2008
2560,1980,2016
2561,1980,2016
2562,1976,1980
2563,1982,2008
2564,1987,2014
2565,1987,2014
2566,1987,2014
2567,1987,2014
2568,1987,2014
2569,1987,2014
2570,1987,2014
2571,1996,2001
2572,1980,2015
2573,1987,2015
2574,1986,2015
2575,2000,2013
2576,2006,2012
2577,1972,2013
2578,1970,2015
2579,1971,2011
2580,1996,2011
2936,2008,2013
2937,1987,1990
2938,1987,1990
2939,1987,1990
2940,1987,1990
2941,1987,1990
2942,1987,1990
2943,1987,1990
2944,1987,1990
2945,1987,1990
2946,1987,1990
2947,1987,1990
2948,1991,2012
2949,1987,1990
2950,1987,1990
2951,1987,1990
2952,1987,1990
2953,1987,1990
2954,1987,1990
2955,1987,1990
2956,1987,1990
2957,1987,1990
2958,1987,1990
2959,1987,1990
2988,2006,2016
2989,2005,2017
2990,2011,2017
2991,1997,2020
2992,1987,2014
2993,2009,2015
2994,2009,2015
2995,2013,2014
2998,2009,2015
2999,2015,2017
3000,1985,1995
3001,1995,2002
3003,1984,1991
3007,1987,2015
3008,2008,2018
3009,2008,2009
3011,2014,2017
3012,2014,2017
3013,2014,2017
3014,2014,2017
3015,2000,2011
3016,2000,2011
3017,2000,2011
3018,2000,2011
3021,2001,2014
3024,1991,2014
3082,2016,2022
3083,1999,2022
3133,1983,2020
3138,2002,2016
3139,2002,2017
3140,2013,2017
3152,2001,2015
3154,1970,2015
3156,1995,2014
3158,1999,2016
3160,2009,2015
3183,2001,2016
3195,2005,2015
3207,2001,2015
3225,1971,2017
3226,1971,2017
3258,1985,2007
3259,1985,2014
3301,2004,2015
3309,1981,2020
3311,1998,2017
3676,1999,2019
3834,2010,2013
3845,2010,2013
3856,2010,2013
3910,2015,2022
3911,2011,2011
3918,2015,2022
3919,2011,2011
3924,2015,2022
3925,2011,2011
3930,2014,2015
3933,2015,2022
3936,2010,2022
3937,2014,2015
3941,2015,2022
3944,2010,2022
3945,2014,2015
3948,2015,2022
3952,2010,2022
3965,2018,2020
3969,2011,2012
3973,2015,2022
3974,2015,2022
3976,2018,2020
3980,2011,2012
3984,2015,2022
3985,2015,2022
3987,2018,2020
3991,2011,2012
3995,2015,2022
3996,2015,2022
3997,1996,2017
4047,2013,2014
4057,2013,2014
4067,2013,2014
4087,1984,2022
4088,1984,2022
4094,1977,2018
4100,1975,2022
4101,1999,2019
