"","Binomial","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Acanthis_flammea","Acanthis_flammea",52,1,-0.0176372487003442,-0.0175651256944467,-0.0174123796367914,-0.0171710434244218,-0.0168273126338081,-0.0163766306456691,-0.0158226347214679,-0.0151482031925579,-0.0143171271369903,-0.0133245566169965,-0.0122202337239402,-0.0110571359681917,-0.0098416886622591,-0.00856875496575549,-0.0072859499635406,-0.00607456570989628,-0.00496451374322171,-0.00391079806660233,-0.00286688613383823,-0.00184420277303832,-0.000879315181715801,2.30024879409596e-05,0.000881377366999447,0.00169408847710872,0.00243926816972018,0.00310932599420244,0.00371214781398965,0.004240396463983,0.00467085078356211,0.00499844302747054,0.00524288613886792,0.00541291451309855,0.00549006869384516,0.00546200218735693,0.00534927255122553,0.00518036419874524,0.00495850132966746,0.00467616101218782,0.00434861279199472,0.00400397949418618,0.00364380237732953,0.00324397790430087,0.00280318525101264,0.00236574759796215,0.00198095170949708,0.00165760170498863,0.00137881891111313,0.00114926384656788,0.000999251246009525,0.00093852144606732,0.000930644696047089,NA
"Acanthis_hornemanni","Acanthis_hornemanni",52,1,-0.0124718583355186,-0.0124629520708277,-0.0124248134838737,-0.0123251267194686,-0.0121375065129179,-0.0118577161102099,-0.0114947005759002,-0.0110453610501028,-0.0104917062841313,-0.00982783781453389,-0.00907656606365259,-0.00827180004781225,-0.00743751009188354,-0.00659378908417896,-0.00576795586965662,-0.00497971847896195,-0.00422154564059407,-0.00347269522944016,-0.00273067570436547,-0.00201158955171521,-0.0013215917672218,-0.000649838215938336,6.11279693651934e-06,0.000630049561120893,0.00121282529796474,0.00176826636490512,0.00230651603317511,0.00280697433950183,0.0032402438504433,0.0036104709804351,0.003954798081511,0.00430275621667142,0.00465576524404854,0.0050059880140283,0.00535110774975767,0.00568094097699334,0.00596951926669176,0.00619723646804271,0.0063701884049584,0.0065024985965374,0.00658807761181224,0.00660824015403649,0.00656555973917072,0.00649261661640432,0.00642227669981243,0.00636191847739054,0.00630373485113078,0.00624946909444712,0.00621269643043987,0.00619972193526008,0.00620006215485547,NA
"Accipiter_cooperii","Accipiter_cooperii",53,1,-0.00925700686392195,-0.00907497767183485,-0.00850474516666777,-0.00746133977840979,-0.00613186568743096,-0.00481519372648376,-0.00370577509594794,-0.0028743553016306,-0.00235165293029271,-0.00212170212538987,-0.00209099052348227,-0.00217940162535135,-0.00241152372547249,-0.00279890666297278,-0.00314278261039158,-0.00309880860892209,-0.00250243493759039,-0.0015487876478486,-0.000601379650423839,0.000102963211591423,0.000526510459000207,0.000738894517109401,0.000881367195831428,0.00116083057439975,0.00173158741452251,0.00257028112090207,0.00356115757603437,0.00469000000102815,0.00601462464524927,0.0074020955452212,0.00843523600688068,0.00870063020932133,0.00811934433234374,0.00691093395470133,0.00529799196162739,0.00337584605233276,0.00125710911881183,-0.000804103279965274,-0.00250629801058899,-0.00365683030949016,-0.00419325247653668,-0.00412208595339991,-0.0035113652375891,-0.00250984655116215,-0.00129887303803522,-2.43092309566428e-05,0.0011813926341615,0.0021319551090706,0.00263053287143378,0.0026352366696889,0.00235557108521234,0.00211896631245501
"Accipiter_gentilis","Accipiter_gentilis",53,1,0.00020872024077323,0.000203674410610644,0.000198887392535818,0.000202348012456666,0.000218648432644075,0.000247134005101124,0.000284812209771612,0.000328950756313562,0.000376569323171427,0.000423174823684036,0.000463914938732657,0.000496336426947019,0.000521198346144169,0.000540061737861475,0.000552319631323295,0.000554741408100412,0.000543489626261273,0.000516356885165825,0.000473934330403658,0.000420047638203469,0.000361342574770829,0.000304793214182641,0.000253244892701066,0.000202191450072275,0.000141475986555673,6.16603430285689e-05,-3.96562364681774e-05,-0.000156380081145269,-0.000278123979489342,-0.000397083837010426,-0.00051353412668087,-0.000636531091219528,-0.000778278686444311,-0.000944746210258751,-0.00112962415678686,-0.00131773633878884,-0.00149570508566987,-0.00165995485086357,-0.00181476983461382,-0.00196397026656059,-0.00210587300209997,-0.00223552342368816,-0.00234913564136896,-0.00244509545724103,-0.002522629203636,-0.00258227207468331,-0.00262774613504058,-0.00266508582902203,-0.0026983703055472,-0.00272678629591994,-0.0027465959475661,-0.0027557865455754
"Accipiter_striatus","Accipiter_striatus",53,1,0.0103739340000872,0.0103500203278928,0.0103379414807316,0.0104184686942672,0.0106852815881853,0.0111799316236385,0.0118451123553158,0.0125431114107657,0.0131293071733869,0.0135257429353979,0.0137471731283612,0.0138668639708261,0.0139460453863642,0.0139810569076713,0.0139166490440186,0.0137119611728778,0.0133859984621223,0.0129959271234601,0.0125858252571149,0.0121658487755463,0.0117175872680788,0.0111873760917147,0.0104847347428965,0.00953630615389378,0.00836603691351878,0.00709551035427736,0.00583790940651552,0.0046101333761499,0.00338043648080322,0.00218772575631099,0.00116422243872782,0.000418408158349592,-8.24038657623039e-05,-0.00049389976851022,-0.000970865009177757,-0.00157447377335762,-0.00228995966320289,-0.0031103516132025,-0.00408256796038708,-0.00525432917382473,-0.00656882736487541,-0.00783721868674858,-0.0088616328674731,-0.0095985960282674,-0.0101650699153868,-0.0106640481454692,-0.0110521814712512,-0.0112313581671644,-0.0112334546485282,-0.0112225617502824,-0.0112992068244917,-0.0113919630608801
"Acipenser_brevirostrum","Acipenser_brevirostrum",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0178845423223519,-0.0176431252371811,-0.0171602910668427,-0.016436039811333,-0.0155910800132366,-0.0151082458428995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_fulvescens","Acipenser_fulvescens",59,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0479308720416374,-0.0450385004860998,-0.0393439891034709,0.0114307411811425,0.0148651587564116,0.0178055746544593,0.0206008454590658,0.0236872128368283,0.010636693003852,0.0244341706167067,0.0272593237089018,0.00185468370032094,-0.0163979265117475,-0.0393591655876613,-0.0552321429546641,-0.0732336301889088,-0.042242764246959,0.0121006276556662,0.0586353515871018,0.0599574901621571,0.0124215479606248,-0.0409872068345409,-0.0496402470061313,-0.0166735442990553,0.0205307252263254,0.0046947449831195,0.0170550086947189,0.0412266368285774,0.0464265299045628,0.0485438929938851,0.030752812420509,0.0306186902866503,0.0304845681527925
"Acipenser_medirostris","Acipenser_medirostris",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0402701468018654,0.0347085020579709,0.023585212570179,0.0069002783384926,-0.0153463006370904,-0.0431545243565687,-0.0784093529699046,-0.12865062707695,-0.187358682574494,-0.220915022449852,NA,NA,NA,NA,NA,NA
"Acipenser_oxyrinchus","Acipenser_oxyrinchus",14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.348829630900091,-0.0796248235979376,-0.0275413773025047,-0.0794043301446555,0.07993077872711,0.12197229176194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_transmontanus","Acipenser_transmontanus",27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.159506450974178,-0.11347148940197,-0.0591011361909106,-0.0277885594252865,0.00727399447640753,0.30312920176869,0.130754828174221,0.0215368907537043,-0.125989955304733,0.336914620519292,0.253907361005566,0.119743563605055,-0.0210445232107899,-0.106323304898713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
