year,CI_high,CI_low,LPI_final,type
1970,1,1,1,all_gams
1971,1.0170183975418,1.0004402459674,1.00875190195844,all_gams
1972,1.0260969464293,0.994903135714862,1.01045105991655,all_gams
1973,1.0325152458587,0.988573980112761,1.01013599649849,all_gams
1974,1.02984147494399,0.974185878202219,1.00133509358885,all_gams
1975,1.02657913634343,0.959844122985792,0.992059000980492,all_gams
1976,1.02048821695946,0.947868424063255,0.982896857927568,all_gams
1977,1.01487462969108,0.934667898004305,0.973931200122174,all_gams
1978,1.0051317363068,0.921840562422886,0.962411472897458,all_gams
1979,1.01104980023172,0.924768249880877,0.96643304023293,all_gams
1980,1.01849128038859,0.927180125354599,0.971520325181147,all_gams
1981,1.01876654170672,0.923223142249047,0.969798419335292,all_gams
1982,1.01932079227689,0.918462265277023,0.96795501503441606,all_gams
1983,1.01976387515597,0.913878923086448,0.965755193713873,all_gams
1984,1.0222045341883,0.913562962155021,0.966114955667472,all_gams
1985,1.02525463453013,0.912848805942607,0.967197829519803,all_gams
1986,1.02466033135151,0.908154570321029,0.964364968409152,all_gams
1987,1.02043049471194,0.900526583619752,0.958202492688131,all_gams
1988,1.01764249855935,0.895516313302021,0.954423812397496,all_gams
1989,1.01701757474104,0.891370803469333,0.951990413004518,all_gams
1990,1.01760463783216,0.890506382663243,0.951520796182719,all_gams
1991,1.02300807868117,0.892689417649792,0.95473321054043,all_gams
1992,1.02147348220036,0.887883912973019,0.951997231572107,all_gams
1993,1.02971242700689,0.89198001551984,0.957620233307422,all_gams
1994,1.03769543643417,0.895133454050456,0.963324358713992,all_gams
1995,1.03661671221593,0.891592217759735,0.961091291976531,all_gams
1996,1.03838281641929,0.889898624435833,0.961048958434161,all_gams
1997,1.03820358333792,0.887099733128727,0.959323005196449,all_gams
1998,1.03274724848956,0.880013126988999,0.953293663056018,all_gams
1999,1.02164678730193,0.867679459415846,0.941226474195545,all_gams
2000,1.01828066928953,0.862216029581522,0.936505987943328,all_gams
2001,1.01327991410673,0.855358570765054,0.930561588793082,all_gams
2002,1.01308710794076,0.851199135946499,0.927991142250848,all_gams
2003,1.02229765192286,0.855351425523775,0.934259694354305,all_gams
2004,1.01991489817433,0.851579770070403,0.930927311714944,all_gams
2005,1.02239923765631,0.85052929434338,0.931397490437881,all_gams
2006,1.02050751140863,0.846410460960652,0.928184247986021,all_gams
2007,1.02093377765721,0.844915677117961,0.927728589784773,all_gams
2008,1.02056386850386,0.840670785043248,0.925247036438877,all_gams
2009,1.01571383443542,0.834629497588147,0.919347928017412,all_gams
2010,1.01143882666803,0.82858762057743,0.914174166750855,all_gams
2011,1.01000629281628,0.825176502535508,0.911189372529405,all_gams
2012,1.00159725595122,0.816975446913508,0.903113142372555,all_gams
2013,0.991017248687153,0.80640636726315,0.892314803477355,all_gams
2014,0.984578854123714,0.798235828902115,0.885229223746072,all_gams
2015,0.988576658709922,0.800350479680575,0.887999179183868,all_gams
2016,0.996181324074099,0.804551859747931,0.893936877404242,all_gams
2017,1.00004926310192,0.80668462198442,0.89645048738789,all_gams
2018,0.999855325956999,0.80688036399351,0.896715529435782,all_gams
2019,1.0010133338908,0.804799123411241,0.895540925758602,all_gams
2020,1.0019254129014,0.802596330800494,0.894958059683107,all_gams
2021,1.00611078008381,0.803062123004706,0.897022999099861,all_gams
2022,1.00457309063057,0.796031313433404,0.892329925661253,all_gams
1970,1,1,1,linear
1971,1.01562847471811,0.998226398958198,1.00676263492839,linear
1972,1.02694454161589,0.994909282707338,1.01054635348568,linear
1973,1.03311639382898,0.987701970603204,1.00966606951891,linear
1974,1.03418938570901,0.977367630144277,1.00471709547766,linear
1975,1.03640218630881,0.970754270600126,1.0022807107562,linear
1976,1.03578293507187,0.964159370655612,0.99868973605913,linear
1977,1.03489013265709,0.956577118006452,0.994538171839139,linear
1978,1.03698847762957,0.953534109208274,0.994008648310726,linear
1979,1.04117687749707,0.954554102708512,0.996629986838619,linear
1980,1.04843942846723,0.958430980422347,1.00188985932383,linear
1981,1.05418074372301,0.960525598879675,1.00577491194724,linear
1982,1.05454500118414,0.95565743798846,1.00345371715965,linear
1983,1.05557124197984,0.950895146499066,1.00100611240391,linear
1984,1.05851876634544,0.948436293237225,1.00096647693843,linear
1985,1.06116946300681,0.94650215718804,1.00139269054632,linear
1986,1.0599526913277,0.942329511844542,0.998371079201765,linear
1987,1.0548775621778,0.936358323796165,0.992453875622888,linear
1988,1.05149129580727,0.931935414753384,0.988760527077856,linear
1989,1.04829953509471,0.925948138807325,0.984272113586464,linear
1990,1.0463123867778,0.920805940539711,0.980688587313802,linear
1991,1.04296826823561,0.913544021621472,0.975476124591124,linear
1992,1.04083086396567,0.907013296359948,0.970761355912233,linear
1993,1.04486452429106,0.90796553453274,0.973173044203925,linear
1994,1.05438517435622,0.912862440787589,0.979886683729666,linear
1995,1.05858947367978,0.911656698679274,0.981409426591635,linear
1996,1.06359974342097,0.914144948836889,0.985184032556281,linear
1997,1.063071343895,0.911746075357526,0.983668887651916,linear
1998,1.05452416864728,0.902139762198725,0.974759008192872,linear
1999,1.0445650050762,0.890549805474708,0.964233931667817,linear
